timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1777001387843,715,Request to Get Repository Details,200,OK,Git API Performance Testing 1-2,text,true,,8101,288,9,9,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,711,0,370
1777001388043,515,Request to Get Repository Details,200,OK,Git API Performance Testing 1-4,text,true,,8100,288,9,9,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,511,0,170
1777001387943,615,Request to Get Repository Details,200,OK,Git API Performance Testing 1-3,text,true,,8101,288,9,9,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,612,0,270
1777001387823,740,Request to Get Repository Details,200,OK,Git API Performance Testing 1-1,text,true,,8101,288,9,9,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,736,0,390
1777001388141,431,Request to Get Repository Details,200,OK,Git API Performance Testing 1-5,text,true,,8101,288,9,9,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,430,0,72
1777001388342,384,Request to Get Repository Details,200,OK,Git API Performance Testing 1-7,text,true,,8101,288,10,10,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,384,0,45
1777001388441,384,Request to Get Repository Details,200,OK,Git API Performance Testing 1-8,text,true,,8101,288,11,11,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,383,0,48
1777001388560,325,Request to Update Repository Details,200,OK,Git API Performance Testing 1-4,text,true,,8028,376,12,12,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,324,0,0
1777001388564,324,Request to Update Repository Details,200,OK,Git API Performance Testing 1-1,text,true,,8030,376,12,12,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,323,0,0
1777001388560,333,Request to Update Repository Details,200,OK,Git API Performance Testing 1-3,text,true,,8029,376,12,12,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,332,0,0
1777001388560,334,Request to Update Repository Details,200,OK,Git API Performance Testing 1-2,text,true,,8030,376,10,10,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,333,0,0
1777001388541,371,Request to Get Repository Details,200,OK,Git API Performance Testing 1-9,text,true,,8102,288,8,8,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,370,0,47
1777001388572,340,Request to Update Repository Details,200,OK,Git API Performance Testing 1-5,text,true,,8030,376,8,8,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,340,0,0
1777001388241,750,Request to Get Repository Details,200,OK,Git API Performance Testing 1-6,text,true,,8102,288,8,8,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,749,0,55
1777001388641,389,Request to Get Repository Details,200,OK,Git API Performance Testing 1-10,text,true,,8101,288,8,8,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,388,0,52
1777001388728,325,Request to Update Repository Details,200,OK,Git API Performance Testing 1-7,text,true,,8030,376,9,9,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,324,0,0
1777001388743,368,Request to Get Repository Details,200,OK,Git API Performance Testing 1-11,text,true,,8102,288,8,8,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,367,0,53
1777001388826,340,Request to Update Repository Details,200,OK,Git API Performance Testing 1-8,text,true,,8030,376,9,9,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,339,0,0
1777001388841,386,Request to Get Repository Details,200,OK,Git API Performance Testing 1-12,text,true,,8102,288,8,8,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,385,0,49
1777001388913,331,Request to Update Repository Details,200,OK,Git API Performance Testing 1-9,text,true,,8030,376,9,9,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,331,0,0
1777001388992,339,Request to Update Repository Details,200,OK,Git API Performance Testing 1-6,text,true,,8030,376,8,8,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,339,0,0
1777001388941,402,Request to Get Repository Details,200,OK,Git API Performance Testing 1-13,text,true,,8102,288,8,8,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,402,0,52
1777001389031,329,Request to Update Repository Details,200,OK,Git API Performance Testing 1-10,text,true,,8029,376,8,8,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,329,0,0
1777001389040,393,Request to Get Repository Details,200,OK,Git API Performance Testing 1-14,text,true,,8102,288,7,7,https://api.github.com/repos/bharathtechacademy05/JMeterRepo,393,0,49
